CR_CP,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis,seggi
08-081,22,5258,0.54,1,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
08-081,25,98362,10.16,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
08-081,27,262772,27.15,1,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
08-081,27,39925,4.13,1,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
08-081,27,31141,3.22,1,0,2,18,+EUROPA,3-20220925000000-18.png,0
08-081,27,2949,0.30,1,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
08-081,28,2729,0.28,0,0,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png,0
08-081,32,5906,0.61,0,0,0,9,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,3-20220925000000-9.png,0
08-081,34,17201,1.78,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
08-081,46,933,0.10,0,0,0,22,DESTRE UNITE,3-20220925000000-22.png,0
08-082,1,112542,8.42,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
08-082,8,16770,1.25,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
08-082,9,973,0.07,0,0,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png,0
08-082,13,16615,1.24,0,0,0,6,VITA,3-20220925000000-6.png,0
08-082,21,21306,1.59,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
08-082,22,330973,24.75,2,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
08-082,22,96276,7.20,2,0,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
08-082,22,71215,5.33,2,0,2,11,FORZA ITALIA,3-20220925000000-11.png,0
08-082,22,7697,0.58,2,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
08-082,25,132178,9.89,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
08-082,27,376049,28.12,1,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
08-082,27,64176,4.80,1,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
08-082,27,44999,3.37,1,0,2,18,+EUROPA,3-20220925000000-18.png,0
08-082,27,4366,0.33,1,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
08-082,28,3502,0.26,0,0,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png,0
08-082,32,8984,0.67,0,0,0,9,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,3-20220925000000-9.png,0
08-082,34,27018,2.02,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
08-082,46,1479,0.11,0,0,0,22,DESTRE UNITE,3-20220925000000-22.png,0
09-091,1,173666,9.33,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
09-091,4,23881,1.28,0,0,0,8,PARTITO COMUNISTA ITALIANO,3-20220925000000-8.png,0
09-091,8,25646,1.38,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
09-091,13,12991,0.70,0,0,0,6,VITA,3-20220925000000-6.png,0
09-091,21,36963,1.98,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
09-091,22,482868,25.93,2,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
09-091,22,119660,6.43,2,0,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
09-091,22,107413,5.77,2,0,2,11,FORZA ITALIA,3-20220925000000-11.png,0
09-091,22,8260,0.44,2,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
09-091,25,209699,11.26,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
