CR,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis
10,27,93946,21.54,0,,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png
10,27,15221,3.49,0,,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png
10,27,9133,2.09,0,,2,18,+EUROPA,3-20220925000000-18.png
10,27,1854,0.43,0,,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png
10,34,7821,1.79,0,,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png
11,1,56490,7.42,0,,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png
11,4,8647,1.14,0,,0,8,PARTITO COMUNISTA ITALIANO,3-20220925000000-8.png
11,8,10445,1.37,0,,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png
11,13,6334,0.83,0,,0,6,VITA,3-20220925000000-6.png
11,21,10021,1.32,0,,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png
11,22,224466,29.49,2,,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png
11,22,60793,7.99,2,,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png
11,22,49751,6.54,2,,2,11,FORZA ITALIA,3-20220925000000-11.png
11,22,5976,0.79,2,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png
11,25,104964,13.79,0,,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png
11,27,151772,19.94,0,,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png
11,27,24778,3.26,0,,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png
11,27,20335,2.67,0,,2,18,+EUROPA,3-20220925000000-18.png
11,27,3572,0.47,0,,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png
11,28,2734,0.36,0,,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png
11,34,20021,2.63,0,,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png
12,1,228357,8.54,0,,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png
12,4,17629,0.66,0,,0,8,PARTITO COMUNISTA ITALIANO,3-20220925000000-8.png
12,8,33280,1.24,0,,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png
12,13,12762,0.48,0,,0,6,VITA,3-20220925000000-6.png
12,21,41404,1.55,0,,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png
12,22,842776,31.52,4,,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png
12,22,183376,6.86,4,,1,11,FORZA ITALIA,3-20220925000000-11.png
12,22,163442,6.11,4,,2,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png
12,22,10984,0.41,4,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png
12,25,394215,14.74,0,,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png
