CR_CP,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis
20-202,9,5364,0.86,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
20-202,13,2135,0.34,0,,0,6,VITA,2-20220925000000-6.png
20-202,17,123816,19.82,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
20-202,17,17030,2.73,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
20-202,17,12501,2.00,0,,2,16,+EUROPA,2-20220925000000-16.png
20-202,17,7329,1.17,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
20-202,21,9908,1.59,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
20-202,22,143361,22.95,1,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
20-202,22,60368,9.66,1,,1,11,FORZA ITALIA,2-20220925000000-11.png
20-202,22,32904,5.27,1,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
20-202,22,5128,0.82,1,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
20-202,25,155292,24.86,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
20-202,32,2670,0.43,0,,0,10,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,2-20220925000000-10.png
20-202,34,7376,1.18,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
21-211,1,18045,4.40,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
21-211,8,3734,0.91,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
21-211,17,63016,15.36,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
21-211,17,9668,2.36,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
21-211,17,7742,1.89,0,,2,16,+EUROPA,2-20220925000000-16.png
21-211,17,2627,0.64,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
21-211,21,2949,0.72,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
21-211,22,80685,19.67,2,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
21-211,22,52987,12.92,2,,1,11,FORZA ITALIA,2-20220925000000-11.png
21-211,22,21882,5.33,2,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
21-211,22,2310,0.56,2,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
21-211,25,139360,33.98,1,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
21-211,34,5157,1.26,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
21-212,1,22150,5.32,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
21-212,8,4008,0.96,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
21-212,17,76422,18.36,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
21-212,17,16059,3.86,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
21-212,17,9961,2.39,0,,2,16,+EUROPA,2-20220925000000-16.png
21-212,17,3345,0.80,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
21-212,21,5134,1.23,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
21-212,22,97917,23.53,2,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
21-212,22,42419,10.19,2,,1,11,FORZA ITALIA,2-20220925000000-11.png
21-212,22,16430,3.95,2,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
21-212,22,3123,0.75,2,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
21-212,25,114080,27.41,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
21-212,34,5147,1.24,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
21-213,1,19801,4.97,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
21-213,8,5124,1.29,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
21-213,17,63954,16.06,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
21-213,17,11165,2.80,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
21-213,17,6388,1.60,0,,2,16,+EUROPA,2-20220925000000-16.png
21-213,17,2647,0.66,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
21-213,21,4628,1.16,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
21-213,22,96050,24.12,2,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
21-213,22,49619,12.46,2,,1,11,FORZA ITALIA,2-20220925000000-11.png
21-213,22,17711,4.45,2,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
21-213,22,5401,1.36,2,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
21-213,25,108346,27.20,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
21-213,34,7427,1.86,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
21-214,1,23492,4.60,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
21-214,8,5845,1.15,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
21-214,17,87219,17.09,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
21-214,17,15594,3.06,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
21-214,17,9137,1.79,0,,2,16,+EUROPA,2-20220925000000-16.png
21-214,17,3685,0.72,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
21-214,21,6613,1.30,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
21-214,22,133615,26.18,2,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
21-214,22,55140,10.81,2,,1,11,FORZA ITALIA,2-20220925000000-11.png
21-214,22,35712,7.00,2,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
21-214,22,2727,0.53,2,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
21-214,25,123819,24.26,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
21-214,34,7696,1.51,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
22-221,1,22398,9.67,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
22-221,4,2187,0.94,0,,0,20,PARTITO COMUNISTA ITALIANO,2-20220925000000-20.png
22-221,8,2483,1.07,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
22-221,9,858,0.37,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
22-221,17,35378,15.27,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
22-221,17,7965,3.44,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
22-221,17,4784,2.07,0,,2,16,+EUROPA,2-20220925000000-16.png
22-221,17,2087,0.90,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
22-221,21,3369,1.45,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
22-221,22,42857,18.50,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
22-221,22,22184,9.58,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
22-221,22,20230,8.73,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
22-221,22,4322,1.87,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
22-221,25,57269,24.72,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
22-221,34,3293,1.42,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
23-231,1,27274,4.09,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
23-231,4,4377,0.66,0,,0,20,PARTITO COMUNISTA ITALIANO,2-20220925000000-20.png
23-231,8,8039,1.21,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
23-231,9,1462,0.22,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
23-231,13,1374,0.21,0,,0,6,VITA,2-20220925000000-6.png
23-231,15,744,0.11,0,,0,23,FORZA DEL POPOLO,2-20220925000000-23.png
23-231,16,2289,0.34,0,,0,15,SUD CHIAMA NORD,2-20220925000000-15.png
23-231,17,93147,13.97,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
23-231,17,11725,1.76,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
23-231,17,7065,1.06,0,,2,16,+EUROPA,2-20220925000000-16.png
23-231,17,5900,0.89,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
23-231,21,15055,2.26,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
23-231,22,127038,19.06,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
23-231,22,105921,15.89,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
23-231,22,38690,5.80,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
23-231,22,6789,1.02,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
23-231,25,196993,29.56,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
23-231,28,1771,0.27,0,,0,7,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,2-20220925000000-7.png
23-231,32,1936,0.29,0,,0,10,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,2-20220925000000-10.png
23-231,34,8937,1.34,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
24-241,1,21753,4.87,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
24-241,8,5104,1.14,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
24-241,16,35291,7.90,0,,0,15,SUD CHIAMA NORD,2-20220925000000-15.png
24-241,17,54835,12.27,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
24-241,17,10206,2.28,0,,1,16,+EUROPA,2-20220925000000-16.png
24-241,17,9002,2.01,0,,2,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
24-241,17,3525,0.79,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
24-241,21,4073,0.91,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
24-241,22,81265,18.18,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
24-241,22,48192,10.78,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
24-241,22,17178,3.84,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
24-241,22,4104,0.92,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
24-241,25,146385,32.75,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
24-241,34,6073,1.36,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
24-242,1,16233,5.61,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
24-242,8,3181,1.10,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
24-242,16,23840,8.24,0,,0,15,SUD CHIAMA NORD,2-20220925000000-15.png
24-242,17,37656,13.02,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
24-242,17,7653,2.65,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
24-242,17,4075,1.41,0,,2,16,+EUROPA,2-20220925000000-16.png
24-242,17,2083,0.72,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
24-242,21,2223,0.77,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
24-242,22,50489,17.46,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
24-242,22,36635,12.67,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
24-242,22,15849,5.48,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
24-242,22,3196,1.11,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
24-242,25,80577,27.86,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
24-242,34,5505,1.90,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
25-251,1,11570,3.69,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
25-251,8,2721,0.87,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
25-251,13,1115,0.36,0,,0,6,VITA,2-20220925000000-6.png
25-251,16,83499,26.60,0,,0,15,SUD CHIAMA NORD,2-20220925000000-15.png
25-251,17,37427,11.92,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
25-251,17,4672,1.49,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
25-251,17,4262,1.36,0,,2,16,+EUROPA,2-20220925000000-16.png
25-251,17,1999,0.64,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
25-251,21,2538,0.81,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
25-251,22,50452,16.07,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
25-251,22,35102,11.18,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
25-251,22,12724,4.05,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
25-251,22,1359,0.43,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
25-251,25,58549,18.65,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
25-251,34,5922,1.89,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
25-252,1,14923,5.16,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
25-252,8,3001,1.04,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
25-252,13,1746,0.60,0,,0,6,VITA,2-20220925000000-6.png
25-252,16,27633,9.56,0,,0,15,SUD CHIAMA NORD,2-20220925000000-15.png
25-252,17,26998,9.34,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
25-252,17,6426,2.22,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
25-252,17,5170,1.79,0,,2,16,+EUROPA,2-20220925000000-16.png
25-252,17,1988,0.69,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
25-252,21,2945,1.02,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
25-252,22,61398,21.25,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
25-252,22,30376,10.51,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
25-252,22,17024,5.89,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
25-252,22,1602,0.55,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
25-252,25,82700,28.62,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
25-252,34,5012,1.73,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
25-253,1,15538,5.12,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
25-253,8,3469,1.14,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
25-253,17,41058,13.54,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
25-253,17,6597,2.17,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
25-253,17,4851,1.60,0,,2,16,+EUROPA,2-20220925000000-16.png
25-253,17,3183,1.05,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
25-253,21,3215,1.06,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
25-253,22,68998,22.75,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
25-253,22,31415,10.36,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
25-253,22,18841,6.21,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
25-253,22,3781,1.25,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
25-253,25,95951,31.63,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
25-253,34,6435,2.12,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
26-261,1,28693,4.53,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
26-261,8,9858,1.56,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
26-261,13,3500,0.55,0,,0,6,VITA,2-20220925000000-6.png
26-261,17,115451,18.23,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
26-261,17,31919,5.04,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
26-261,17,13845,2.19,0,,2,16,+EUROPA,2-20220925000000-16.png
26-261,17,5621,0.89,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
26-261,21,9619,1.52,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
26-261,22,151727,23.96,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
26-261,22,55285,8.73,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
26-261,22,40891,6.46,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
26-261,22,13467,2.13,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
26-261,25,137766,21.76,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
26-261,34,15493,2.45,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
28-281,1,29860,6.00,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
28-281,8,6226,1.25,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
28-281,13,22175,4.45,0,,0,6,VITA,2-20220925000000-6.png
28-281,17,84818,17.03,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
28-281,17,29292,5.88,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17-B.png
28-281,17,14668,2.95,0,,2,16,+EUROPA,2-20220925000000-16.png
28-281,17,2029,0.41,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
28-281,21,4215,0.85,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
28-281,22,93175,18.71,1,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
28-281,22,42330,8.50,1,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
28-281,22,16617,3.34,1,,2,11,FORZA ITALIA,2-20220925000000-11.png
28-281,22,2718,0.55,1,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
28-281,25,24820,4.98,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
28-281,34,8576,1.72,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
28-281,52,116459,23.39,2,,0,21,SÜDTIROLER VOLKSPARTEI (SVP) - PATT,2-20220925000000-21.png
