CR,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis
18,9,0,,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
18,17,0,,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
18,17,0,,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
18,17,0,,0,,2,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
18,17,0,,0,,3,16,+EUROPA,2-20220925000000-16.png
18,21,0,,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
18,22,0,,0,,0,11,FORZA ITALIA,2-20220925000000-11.png
18,22,0,,0,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
18,22,0,,0,,2,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
18,22,0,,0,,3,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
18,25,0,,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
19,1,12,5.71,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
19,8,4,1.90,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
19,9,0,,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
19,17,21,10.00,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
19,17,8,3.81,0,,1,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
19,17,2,0.95,0,,2,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
19,17,0,14.88,0,,3,16,+EUROPA,2-20220925000000-16.png
19,21,2,0.95,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
19,22,16,7.62,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
19,22,15,7.14,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
19,22,3,1.43,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
19,22,0,15.81,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
19,25,127,60.48,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
19,34,0,,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
20,1,0,,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
20,4,0,,0,,0,20,PARTITO COMUNISTA ITALIANO,2-20220925000000-20.png
